time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz),,,,,,,,,,,
125.901,0,1,1,-0.04,-0.44,-0.3,-0.4,-0.2,-0.5,,,-0.04,0,,,,,,,
126.601,0,1,1,-0.04,0.92,0,0.9,-0.3,0.9,,,-0.1,0,,,,,,,
127.201,0,1,1,-0.1,-0.84,-0.2,-0.8,-0.3,-0.9,,,-0.02,-0.02,,,,,,,
127.801,0,1,1,-0.02,0.52,-0.1,0.5,-0.2,0.5,,,0,0,,,,,,,
128.601,0,1,1,0,1,-0.1,1,-0.2,1,,,-0.08,-0.02,,,,,,,
129.301,0,1,1,-0.08,-0.12,-0.4,-0.1,-0.3,-0.1,,,0,-0.02,,,,,,,
129.901,0,1,1,0,1,-0.3,1,0,1,,,-0.1,0,,,,,,,
130.501,0,1,1,-0.1,-0.28,-0.2,-0.3,-0.2,-0.3,,,0,0,,,,,,,
131.201,0,1,1,0,1,0,1,0,1,,,0,-0.08,,,,,,,
131.901,0,1,1,0,0.68,0,0.7,-0.1,0.7,,,-0.12,0,,,,,,,
132.601,0,1,1,-0.12,-0.68,-0.3,-0.7,-0.4,-0.7,,,0,-0.02,,,,,,,
133.201,0,1,1,0,1,0,1,0,1,,,-0.14,-0.08,,,-0.4,-0.1,,-0.3,0
133.901,0,1,1,-0.14,-0.28,-0.1,-0.3,-0.2,-0.3,,,0,0,,,-0.1,-0.1,,-0.1,0
134.501,0,1,1,0,1,-0.1,1,-0.2,1,,,0,0,,,-0.2,-0.2,,0,-0.1
135.101,0,1,1,0,-0.12,0,-0.1,-0.4,-0.1,,,-0.04,-0.04,,,-0.3,-0.2,,-0.1,-0.2
135.901,0,1,1,-0.04,-0.76,-0.2,-0.7,-0.3,-0.8,,,-0.02,-0.02,,,-0.1,0,,0,0
136.601,0,1,1,-0.02,0.6,0,0.7,0,0.5,,,-0.12,-0.06,,,0,0,,-0.3,0
137.201,0,1,1,-0.12,-0.84,-0.2,-0.9,-0.2,-0.8,,,0,0,,,-0.1,0,,-0.2,0
137.801,0,1,1,0,0.92,0,0.9,0,0.9,,,-0.06,-0.02,,,-0.1,-0.3,,0,-0.2
138.501,0,1,1,-0.06,-0.44,-0.1,-0.5,-0.2,-0.4,,,0,-0.04,,,-0.3,-0.3,,-0.3,-0.2
139.101,0,1,1,0,1,-0.1,1,-0.2,1,,,-0.08,0,,,-0.3,-0.4,,0,-0.2
139.801,0,1,1,-0.08,-0.04,-0.7,-0.1,-0.5,0,,,-0.1,-0.1,,,-0.1,0,,-0.1,0
140.501,0,1,1,-0.1,-0.6,-0.1,-0.5,-0.3,-0.7,,,0,0,,,-0.3,-0.3,,0,-0.1
141.201,0,1,1,0,0.76,0,0.8,-0.2,0.7,,,-0.12,0,,,-0.2,0,,-0.2,0
141.801,0,1,1,-0.12,-0.92,-0.2,-0.9,-0.4,-0.9,,,0,0,,,-0.4,0,,-0.1,0
142.501,0,1,1,0,0.36,0,0.4,-0.1,0.3,,,0,-0.04,,,-0.1,0,,-0.1,-0.3
143.101,0,1,1,0,-0.6,-0.2,-0.7,-0.1,-0.5,,,0,-0.02,,,-0.2,0,,-0.3,0
143.801,0,1,1,0,-0.04,0,0,-0.3,-0.1,,,0,-0.16,,,-0.1,0,,-0.4,-0.3
144.501,0,1,1,0,1,-0.1,1,-0.1,1,,,-0.02,0,,,0,0,,-0.4,0
