time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz)
523.601,0,0,1,-0.26,-0.92,0,-0.8,0,-1
524.301,0,0,1,-0.1,0.44,0,0.5,0,0.4
524.901,0,0,1,-0.4,-0.68,0,-0.8,0,-0.6
525.701,0,0,1,-0.16,-0.04,0,-0.1,0,0
526.301,0,0,1,0,1,-0.2,1,-0.2,1
526.901,0,0,1,-0.08,-0.36,0,-0.3,0,-0.4
527.501,0,0,1,-0.04,0.12,0,0,0,0.2
528.301,0,0,1,0,0.78,0,0.7,0,0.8
528.901,0,0,1,0,0.58,0,0.7,-0.1,0.6
529.601,0,0,1,-0.02,1,-0.1,1,-0.2,1
530.201,0,0,1,-0.02,0.2,0,0.2,0,0.2
530.801,0,0,1,-0.02,-0.42,0,-0.5,0,-0.4
531.501,0,0,1,-0.08,-0.22,0,-0.1,0,-0.2
532.101,0,0,1,-0.02,-0.02,0,-0.1,-0.1,0
532.901,0,0,1,-0.04,0.62,0,0.5,0,0.6
533.501,0,0,1,-0.02,0.76,0,0.8,-0.1,0.7
534.201,0,0,1,0,1,0,1,0,1
534.801,0,0,1,-0.02,0.36,0,0.4,0,0.4
535.401,0,0,1,-0.06,-0.58,0,-0.7,0,-0.6
536.101,0,0,1,-0.1,-0.04,0,0,-0.1,-0.1
536.801,0,0,1,0,1,0,1,-0.2,1
537.501,0,0,1,-0.08,0.44,0,0.4,-0.2,0.5
538.101,0,0,1,-0.02,0.9,0,1,0,0.9
538.801,0,0,1,0,0.84,0,0.8,0,0.8
539.401,0,0,1,-0.02,0.5,0,0.6,0,0.5
540.001,0,0,1,-0.1,-0.76,0,-0.8,0,-0.7
540.801,0,0,1,-0.06,-0.1,0,-0.2,-0.1,-0.1
541.401,0,0,1,0,1,0,1,0,1
542.101,0,0,1,-0.06,0.3,0,0.2,0,0.3
542.701,0,0,1,0,1,0,1,-0.2,1
543.301,0,0,1,-0.08,-0.68,-0.1,-0.6,-0.1,-0.7
544.001,0,0,1,-0.06,0.66,-0.1,0.8,0,0.6
544.601,0,0,1,-0.14,-0.9,0,-1,-0.2,-0.9
545.301,0,0,1,-0.04,0.26,0,0.4,-0.1,0.2
545.901,0,0,1,-0.04,-0.5,0,-0.6,0,-0.5
546.601,0,0,1,-0.06,-0.14,0,0,0,-0.2
547.201,0,0,1,-0.06,-0.1,0,-0.2,-0.1,-0.1
547.801,0,0,1,-0.02,1,0,1,0,1
548.501,0,0,1,-0.04,0.3,0,0.2,0,0.3
549.201,0,0,1,-0.12,-0.92,0,-0.9,0,-1
549.801,0,0,1,0,0.7,0,0.6,0,0.7
550.501,0,0,1,-0.28,-0.66,-0.3,-0.8,-0.1,-0.6
551.101,0,0,1,-0.02,1,-0.2,1,0,1
551.801,0,0,1,-0.16,-0.28,0,-0.3,0,-0.2
552.401,0,0,1,-0.02,1,,,,
