time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz)
99.801,0,0,1,-0.08,1,-0.3,1,-0.2,1
100.501,0,0,1,-0.1,0.28,-0.6,0.2,-0.4,0.3
101.201,0,0,1,0,-0.92,-0.2,-0.8,0,-1
101.801,0,0,1,0,0.68,-0.1,0.6,-0.1,0.7
102.401,0,0,1,-0.04,0.68,-0.3,0.8,-0.2,0.6
103.001,0,0,1,-0.02,-0.9,-0.4,-1,-0.5,-0.9
103.601,0,0,1,-0.04,0.86,-0.2,0.8,-0.2,0.8
104.301,0,0,1,-0.02,-0.5,-0.3,-0.6,-0.2,-0.5
104.901,0,0,1,0,1,0,1,0,1
105.501,0,0,1,-0.04,0.12,-0.3,0.2,-0.3,0.1
106.101,0,0,1,-0.02,-0.36,-0.5,-0.4,-0.4,-0.4
106.701,0,0,1,0,1,0,1,0,1
107.301,0,0,1,0,-0.04,-0.3,0,-0.3,0
108.001,0,0,1,-0.08,1,-0.5,1,-0.5,1
108.701,0,0,1,0,0.44,-0.1,0.4,-0.2,0.4
109.301,0,0,1,0,0.92,0,1,0,0.9
109.901,0,0,1,-0.02,-0.84,-0.5,-0.7,-0.5,-0.8
110.501,0,0,1,-0.02,0.6,-0.3,0.5,-0.2,0.6
111.101,0,0,1,0,0.76,-0.1,0.8,0,0.8
111.801,0,0,1,0,0.98,-0.1,1,-0.1,1
112.401,0,0,1,0,0.36,-0.2,0.4,-0.1,0.4
113.001,0,0,1,-0.02,-0.6,-0.3,-0.7,-0.2,-0.6
113.601,0,0,1,-0.02,1,-0.2,1,-0.3,1
114.201,0,0,1,0,0.2,-0.2,0.2,0,0.2
114.801,0,0,1,-0.02,-0.44,-0.2,-0.5,-0.5,-0.4
115.501,0,0,1,0,-0.2,-0.3,-0.1,-0.2,-0.2
116.201,0,0,1,0,1,-0.3,1,-0.6,1
116.801,0,0,1,0,-0.6,-0.3,-0.5,-0.3,-0.6
117.401,0,0,1,0,0.36,-0.2,0.3,-0.1,0.4
118.001,0,0,1,0,0.98,-0.2,1,-0.4,1
118.601,0,0,1,0,-0.76,-0.3,-0.7,-0.1,-0.8
119.201,0,0,1,0,0.52,-0.1,0.4,-0.2,0.6
119.801,0,0,1,0,0.84,-0.1,0.9,-0.1,0.8
120.401,0,0,1,-0.02,-0.92,-0.2,-0.8,-0.2,-1
121.101,0,0,1,-0.02,0.44,-0.2,0.5,-0.3,0.4
121.701,0,0,1,0,-0.66,-0.1,-0.8,-0.5,-0.6
122.301,0,0,1,0,1,-0.4,1,-0.2,1
122.901,0,0,1,0,0.28,-0.1,0.4,0,0.2
123.601,0,0,1,0,1,-0.1,1,-0.1,1
124.301,0,0,1,0,0.12,-0.3,0,-0.3,0.2
124.901,0,0,1,0,1,0,1,-0.2,1
125.601,0,0,1,0,0.52,0,0.4,-0.2,0.6
126.201,0,0,1,0,0.84,-0.3,0.9,-0.5,0.8
126.801,0,0,1,0,-0.92,-0.3,-0.8,-0.5,-1
127.501,0,0,1,0,0.48,-0.2,0.5,-0.1,0.4
128.101,0,0,1,0,-0.66,-0.2,-0.8,-0.4,-0.6
128.801,0,0,1,0,0.08,-0.1,0.1,-0.2,0
129.401,0,0,1,0,-0.06,-0.1,-0.4,-0.3,-0.2
130.001,0,0,1,0,1,-0.2,1,-0.3,1
130.701,0,0,1,0,0.18,-0.7,0.1,-0.4,0.2
131.401,0,0,1,0,-0.76,-0.2,-0.7,-0.3,-0.8
132.001,0,0,1,0,0.52,-0.1,0.4,0,0.6
132.701,0,0,1,0,-0.82,-0.2,-0.9,-0.1,-0.8
133.301,0,0,1,0,0.92,-0.5,0.8,-0.5,1
133.901,0,0,1,0,0.44,0,0.5,0,0.4
134.601,0,0,1,0,1,0,1,0,1
135.201,0,0,1,0,0.04,-0.1,0.1,-0.2,0
135.901,0,0,1,0,1,0,1,-0.1,1
136.501,0,0,1,0,-0.36,-0.3,-0.3,-0.1,-0.4
137.101,0,0,1,0,0.12,-0.1,0,-0.1,0.2
137.801,0,0,1,0,-0.76,-0.1,-0.7,-0.2,-0.8
138.401,0,0,1,0,0.52,0,0.4,0,0.6
139.101,0,0,1,0,-0.84,-0.2,-0.9,-0.3,-0.8
139.701,0,0,1,0,0.92,-0.3,0.2,-0.2,0.2
140.401,0,0,1,0,-0.44,-0.2,-0.5,-0.3,-0.4
141.001,0,0,1,0,1,-0.2,1,-0.2,1
141.701,0,0,1,0,-0.04,-0.4,-0.1,-0.4,0
142.301,0,0,1,0,1,0,1,0,1
143.001,0,0,1,0,0.36,-0.3,0.3,-0.2,0.4
143.601,0,0,1,0,0.98,0,1,-0.4,1
144.301,0,0,1,0,0.76,-0.1,0.7,0,0.8
144.901,0,0,1,0,0.6,-0.5,0.7,-0.6,0.6
145.501,0,0,1,0,-0.84,-0.3,-0.9,-0.3,-0.8
146.201,0,0,1,0,0.2,-0.1,0.2,-0.2,0.2
146.901,0,0,1,0,1,0,1,0,1
147.501,0,0,1,0,-0.2,-0.4,-0.1,-0.5,-0.2
148.101,0,0,1,0,-0.04,-0.5,-0.1,-0.4,0
148.801,0,0,1,0,-0.6,-0.1,-0.5,-0.1,-0.6
149.401,0,0,1,0,0.36,0,0.3,0,0.4
150.101,0,0,1,0,-0.96,-0.4,-1,-0.3,-1
150.701,0,0,1,0,0.76,0,0.7,-0.3,0.8
151.401,0,0,1,0,-0.6,-0.2,-0.7,-0.3,-0.6
152.001,0,0,1,0,1,-0.2,1,-0.2,1
152.601,0,0,1,0,0.2,-0.2,0.2,-0.3,0.2
153.201,0,0,1,0,-0.44,-0.4,-0.5,-0.3,-0.4
153.801,0,0,1,0,1,-0.4,1,-0.4,1
154.501,0,0,1,0,-0.04,-0.3,-0.1,-0.3,0
155.101,0,0,1,0,1,0,1,0,1
155.801,0,0,1,0,0.36,-0.1,0.3,-0.1,0.4
156.401,0,0,1,0,0.98,-0.3,1,-0.4,1
157.001,0,0,1,0,-0.76,-0.4,-0.7,-0.3,-0.8
157.701,0,0,1,0,0.6,-0.4,0.7,-0.4,0.6
158.401,0,0,1,0,1,-0.3,1,-0.3,1
159.001,0,0,1,0,0.2,-0.1,0.2,-0.2,0.2
159.601,0,0,1,0,-0.44,-0.4,-0.5,-0.3,-0.4
160.201,0,0,1,0,1,-0.2,1,-0.2,1
160.901,0,0,1,0,-0.04,-0.2,-0.1,-0.1,0
161.501,0,0,1,0,1,-0.1,1,-0.2,1
162.201,0,0,1,0,0.36,-0.2,0.3,-0.3,0.4
162.901,0,0,1,0,-0.96,-0.6,-1,0,-1
163.501,0,0,1,0,0.76,0,0.7,0,0.8
164.101,0,0,1,0,0.6,-0.2,0.7,-0.3,0.6
164.801,0,0,1,-0.04,1,-0.6,1,-0.6,1
165.401,0,0,1,0,0.2,0,0.2,0,0.2
166.101,0,0,1,0,1,0,1,0,1
166.701,0,0,1,-0.02,-0.2,-0.1,-0.1,-0.4,-0.2
167.301,0,0,1,-0.02,-0.04,-0.3,-0.1,-0.1,0
168.001,0,0,1,0,-0.6,-0.3,-0.5,-0.1,-0.6
168.601,0,0,1,0,0.36,0,0.3,-0.1,0.4
169.301,0,0,1,0,-0.96,-0.1,-1,-0.2,-1
170.001,0,0,1,0,0.36,-0.2,0.4,-0.2,0.4
170.601,0,0,1,0,-0.6,-0.1,-0.7,-0.2,-0.6
171.201,0,0,1,-0.02,1,0,1,0,1
171.801,0,0,1,-0.02,0.2,-0.2,0.2,-0.2,0.2
172.501,0,0,1,0,1,0,1,-0.1,1
173.101,0,0,1,0,-0.2,-0.1,-0.1,-0.2,-0.2
173.901,0,0,1,0,-0.84,-0.3,-0.8,-0.6,-0.8
174.501,0,0,1,-0.08,0.6,-0.3,0.5,-0.3,0.6
175.201,0,0,1,-0.02,-0.76,0,-0.8,-0.3,-0.8
175.801,0,0,1,-0.08,0.98,-0.2,1,-0.3,1
176.401,0,0,1,-0.02,0.36,-0.3,0.4,-0.3,0.4
177.201,0,0,1,-0.1,-0.28,-0.2,-0.2,-0.4,-0.3
177.901,0,0,1,-0.1,1,-0.3,1,-0.2,1
178.501,0,0,1,-0.16,-0.68,-0.2,-0.6,-0.3,-0.7
179.101,0,0,1,-0.16,0.44,-0.3,0.4,-0.3,0.4
179.801,0,0,1,0,-0.92,0,-1,-0.5,-0.9
180.401,0,0,1,-0.14,0.84,-0.2,0.8,-0.4,0.8
181.101,0,0,1,-0.1,-0.52,0,-0.6,-0.2,-0.5
181.801,0,0,1,-0.14,-0.12,-0.1,0,-0.2,-0.2
182.501,0,0,1,-0.14,1,-0.2,1,-0.2,1
183.101,0,0,1,-0.1,-0.52,-0.1,-0.4,-0.4,-0.6
183.701,0,0,1,-0.16,0.28,-0.1,0.2,-0.2,0.3
184.301,0,0,1,-0.2,-0.92,0,-0.8,-0.3,-1
185.101,0,0,1,-0.12,0.44,0,0.5,0,0.4
185.801,0,0,1,-0.14,1,0,1,-0.1,1
186.401,0,0,1,-0.08,0.04,0,0.1,-0.2,0
187.001,0,0,1,-0.14,-0.28,-0.1,-0.4,-0.3,-0.2
187.701,0,0,1,-0.12,-0.36,-0.2,-0.3,0,-0.4
188.301,0,0,1,-0.24,0.12,-0.3,0,-0.5,0.2
189.001,0,0,1,-0.06,-0.76,-0.2,-0.7,-0.1,-0.8
189.701,0,0,1,-0.14,0.6,0,0.7,0,0.6
190.401,0,0,1,-0.1,1,0,1,0,1
191.001,0,0,1,-0.14,0.2,0,0.2,-0.3,0.2
191.601,0,0,1,-0.16,-0.44,-0.3,-0.5,-0.4,-0.4
192.301,0,0,1,-0.18,-0.2,-0.2,-0.1,-0.2,-0.2
193.001,0,0,1,-0.22,1,-0.1,1,-0.3,1
193.701,0,0,1,-0.16,0.6,-0.2,0.5,-0.3,0.6
194.301,0,0,1,-0.18,0.76,0,0.8,-0.1,0.8
194.901,0,0,1,-0.04,-0.96,-0.3,-1,-0.1,-1
195.601,0,0,1,-0.18,0.36,-0.1,0.4,-0.2,0.4
196.201,0,0,1,-0.1,-0.6,-0.1,-0.7,-0.4,-0.6
196.901,0,0,1,-0.12,-0.04,0,0,-0.1,0
197.601,0,0,1,-0.14,1,0,1,0,1
198.301,0,0,1,-0.1,0.44,-0.1,0.4,-0.2,0.4
198.901,0,0,1,-0.26,0.92,-0.1,1,-0.4,0.9
199.501,0,0,1,-0.12,-0.84,-0.4,-0.8,-0.3,-0.8
200.201,0,0,1,-0.08,0.52,-0.1,0.6,-0.1,0.5
200.901,0,0,1,-0.14,1,-0.1,1,-0.2,1
201.701,0,0,1,-0.3,1,-0.6,1,-0.7,1
202.301,0,0,1,-0.1,-0.52,-0.2,-0.4,-0.3,-0.6
202.901,0,0,1,-0.14,0.28,-0.1,0.2,-0.2,0.3
203.601,0,0,1,-0.1,-0.92,-0.3,-0.8,-0.2,-1
204.301,0,0,1,-0.18,0.44,-0.2,0.5,-0.3,0.4
204.901,0,0,1,-0.2,-0.68,-0.2,-0.8,-0.2,-0.6
205.601,0,0,1,-0.18,0.04,-0.2,0.1,-0.4,0
206.301,0,0,1,-0.18,1,0,1,-0.1,1
206.901,0,0,1,-0.12,-0.36,-0.2,-0.3,-0.3,-0.4
207.501,0,0,1,-0.12,0.12,-0.2,0,-0.3,0.2
208.201,0,0,1,-0.1,-0.76,-0.1,-0.7,-0.2,-0.8
208.901,0,0,1,-0.08,0.6,-0.1,0.7,-0.1,0.6
209.501,0,0,1,-0.08,-0.84,-0.4,-0.9,-0.4,-0.8
210.201,0,0,1,-0.18,0.2,-0.2,0.2,-0.2,0.2
210.801,0,0,1,-0.1,-0.44,-0.2,-0.5,-0.5,-0.4
211.401,0,0,1,-0.22,1,-0.2,1,-0.3,1
212.101,0,0,1,-0.12,-0.04,-0.2,-0.1,-0.2,0
212.701,0,0,1,-0.12,1,0,1,-0.1,1
213.401,0,0,1,-0.08,0.36,-0.1,0.3,-0.1,0.4
214.001,0,0,1,-0.12,0.98,0,1,0,1
214.601,0,0,1,-0.1,-0.76,-0.3,-0.7,-0.4,-0.8
215.201,0,0,1,-0.2,0.52,-0.2,0.4,-0.5,0.6
215.801,0,0,1,-0.12,-0.84,-0.5,-0.9,-0.1,-0.8
216.501,0,0,1,-0.16,0.92,-0.1,0.8,-0.2,1
217.101,0,0,1,-0.16,0.44,0,0.5,-0.3,0.4
217.801,0,0,1,-0.1,1,0,1,0,1
218.401,0,0,1,-0.12,0.04,-0.2,0.1,-0.3,0
219.001,0,0,1,-0.06,-0.28,-0.1,-0.4,-0.2,-0.2
219.601,0,0,1,-0.22,1,-0.2,1,-0.2,1
220.301,0,0,1,-0.14,0.12,-0.3,0,-0.3,0.2
221.001,0,0,1,-0.06,-0.76,-0.4,-0.7,-0.2,-0.8
221.601,0,0,1,-0.16,0.52,-0.3,0.4,-0.2,0.6
222.201,0,0,1,-0.1,0.84,-0.1,0.9,0,0.8
222.901,0,0,1,-0.18,0.92,0,0.8,0,1
223.501,0,0,1,-0.1,0.44,0,0.5,-0.3,0.4
224.201,0,0,1,-0.12,1,0,1,0,1
224.801,0,0,1,-0.12,0.04,0,0.1,-0.2,0
225.501,0,0,1,-0.08,1,0,1,-0.1,1
226.101,0,0,1,-0.08,-0.36,-0.4,-0.3,-0.1,-0.4
226.701,0,0,1,-0.14,0.12,-0.4,0,-0.3,0.2
227.301,0,0,1,-0.14,1,0,1,-0.1,1
228.001,0,0,1,-0.18,0.52,-0.2,0.4,-0.2,0.6
228.701,0,0,1,-0.12,-0.84,-0.4,-0.9,-0.2,-0.8
229.301,0,0,1,-0.14,0.92,-0.1,0.8,-0.1,1
229.901,0,0,1,-0.06,0.44,-0.1,0.5,-0.2,0.4
230.601,0,0,1,-0.16,1,-0.2,1,-0.3,1
231.201,0,0,1,-0.12,0.04,-0.1,0.1,-0.3,0
231.901,0,0,1,-0.18,1,0,1,0,1
232.501,0,0,1,-0.1,-0.36,-0.2,-0.3,-0.1,-0.4
233.201,0,0,1,-0.18,0.98,0,1,-0.1,1
233.801,0,0,1,-0.12,-0.76,-0.5,-0.7,-0.2,-0.8
234.401,0,0,1,-0.12,0.52,0,0.4,-0.1,0.6
235.001,0,0,1,-0.2,0.84,-0.1,0.9,-0.3,0.8
235.701,0,0,1,-0.12,0.92,0,0.8,-0.2,1
236.401,0,0,1,-0.12,-0.44,-0.3,-0.5,-0.5,-0.4
237.001,0,0,1,-0.22,1,-0.3,1,-0.2,1
237.601,0,0,1,-0.08,0.04,-0.1,0.1,0,0
238.301,0,0,1,-0.14,1,-0.2,1,-0.2,1
238.901,0,0,1,-0.02,-0.36,-0.2,-0.3,0,-0.4
239.601,0,0,1,-0.06,0.98,0,1,-0.1,1
240.201,0,0,1,-0.14,-0.76,-0.4,-0.7,-0.1,-0.8
240.901,0,0,1,-0.12,0.6,0,0.7,0,0.6
241.501,0,0,1,-0.16,-0.84,-0.2,-0.9,-0.1,-0.8
242.101,0,0,1,-0.08,0.92,0,0.8,0,1
242.801,0,0,1,-0.12,-0.44,-0.2,-0.5,-0.2,-0.4
243.501,0,0,1,-0.26,-0.2,-0.2,-0.1,-0.2,-0.2
