神说 要有光
 
 {  2801.000       ,  9.686          
 },{  107101.000     ,  4.359          
 },{  107301.000     ,  4.367          
 },{  107601.000     ,  4.379          
 },{  107901.000     ,  4.391          
 },{  108101.000     ,  4.358          
 },{  108301.000     ,  4.366          
 },{  108501.000     ,  4.374          
 },{  108801.000     ,  4.386          
 },{  109001.000     ,  4.353          
 },{  109201.000     ,  4.361          
 },{  109501.000     ,  4.373          
 },{  109701.000     ,  4.381          
 },{  109901.000     ,  4.389          
 },{  110101.000     ,  4.357          
 },{  110301.000     ,  4.364          
 },{  110601.000     ,  4.376          
 },{  110801.000     ,  4.384          
 },{  111001.000     ,  4.352          
 },{  111201.000     ,  4.360          
 },{  111401.000     ,  4.368          
 },{  111701.000     ,  4.379          
 },{  111901.000     ,  4.387          
 },{  112101.000     ,  4.355          
 },{  112301.000     ,  4.363          
 },{  112501.000     ,  4.371          
 },{  112801.000     ,  4.382          
 },{  113001.000     ,  4.351          
 },{  113201.000     ,  4.359          
 },{  113401.000     ,  4.366          
 },{  113601.000     ,  4.374          
 },{  113901.000     ,  4.385          
 },{  114101.000     ,  4.354          
 },{  114401.000     ,  4.365          
 },{  114601.000     ,  4.373          
 },{  114801.000     ,  4.380          
 },{  115001.000     ,  4.350          
 },{  115301.000     ,  4.361          
 },{  115501.000     ,  4.368          
 },{  115801.000     ,  4.380          
 },{  116001.000     ,  4.349          
 },{  116201.000     ,  4.357          
 },{  116401.000     ,  4.364          
 },{  116601.000     ,  4.371          
 },{  116901.000     ,  4.383          
 },{  117101.000     ,  4.352          
 },{  117301.000     ,  4.360          
 },{  117501.000     ,  4.367          
 },{  117701.000     ,  4.374          
 },{  118001.000     ,  4.348          
 },{  118201.000     ,  4.355          
 },{  118401.000     ,  4.363          
 },{  118601.000     ,  4.370          
 },{  118801.000     ,  4.377          
 },{  119001.000     ,  4.348          
 },{  119301.000     ,  4.358          
 },{  119501.000     ,  4.366          
 },{  119701.000     ,  4.373          
 },{  119901.000     ,  4.380          
 },{  120101.000     ,  4.351          
 },{  120401.000     ,  4.361          
 },{  120601.000     ,  4.369          
 },{  120901.000     ,  4.379          
 },{  121101.000     ,  4.350          
 },{  121301.000     ,  4.357          
 },{  121601.000     ,  4.368          
 },{  121801.000     ,  4.375          
 },{  122101.000     ,  4.350          
 },{  122301.000     ,  4.357          
 },{  122501.000     ,  4.364          
 },{  122701.000     ,  4.371          
 },{  122901.000     ,  4.378          
 },{  123201.000     ,  4.353          
 },{  123401.000     ,  4.360          
 },{  123601.000     ,  4.367          
 },{  123801.000     ,  4.374          
 },{  124001.000     ,  4.345          
 },{  124301.000     ,  4.356          
 },{  124501.000     ,  4.362          
 },{  124701.000     ,  4.369          
 },{  124901.000     ,  4.376          
 },{  125101.000     ,  4.348          
 },{  125401.000     ,  4.358          
 },{  125601.000     ,  4.365          
 },{  125801.000     ,  4.372          
 },{  126001.000     ,  4.344          
 },{  126201.000     ,  4.351          
 },{  126501.000     ,  4.361          
 },{  126701.000     ,  4.368          
 },{  126901.000     ,  4.375          
 },{  127101.000     ,  4.347          
 },{  127401.000     ,  4.357          
 },{  127601.000     ,  4.364          
 },{  127901.000     ,  4.374          
 },{  128101.000     ,  4.347          
 },{  128301.000     ,  4.353          
 },{  128601.000     ,  4.363          
 },{  128801.000     ,  4.370          
 },{  129001.000     ,  4.343          
 },{  129201.000     ,  4.350          
 },{  129501.000     ,  4.359          
 },{  129701.000     ,  4.366          
 },{  129901.000     ,  4.373          
 },{  130101.000     ,  4.346          
 },{  130301.000     ,  4.352          
 },{  130601.000     ,  4.362          
 },{  130801.000     ,  4.369          
 },{  131001.000     ,  4.342          
 },{  131301.000     ,  4.352          
 },{  131501.000     ,  4.358          
 },{  131701.000     ,  4.365          
 },{  131901.000     ,  4.371          
 },{  132201.000     ,  4.348          
 },{  132401.000     ,  4.355          
 },{  132601.000     ,  4.361          
 },{  132901.000     ,  4.371          
 },{  133101.000     ,  4.344          
 },{  133301.000     ,  4.351          
 },{  133501.000     ,  4.357          
 },{  133801.000     ,  4.367          
 },{  134001.000     ,  4.341          
 },{  134201.000     ,  4.347          
 },{  134501.000     ,  4.357          
 },{  134701.000     ,  4.363          
 },{  134901.000     ,  4.370          
 },{  135201.000     ,  4.347          
 },{  135401.000     ,  4.353          
 },{  135701.000     ,  4.363          
 },{  135901.000     ,  4.369          
 },{  136101.000     ,  4.343          
 },{  136301.000     ,  4.349          
 },{  136601.000     ,  4.359          
 },{  136801.000     ,  4.365          
 },{  137001.000     ,  4.340          
 },{  137301.000     ,  4.349          
 },{  137501.000     ,  4.355          
 },{  137701.000     ,  4.361          
 },{  137901.000     ,  4.368          
 },{  138201.000     ,  4.345          
 },{  138401.000     ,  4.352          
 },{  138601.000     ,  4.358          
 },{  138901.000     ,  4.367          
 },{  139101.000     ,  4.342          
 },{  139301.000     ,  4.348          
 },{  139501.000     ,  4.354          
 },{  139801.000     ,  4.363          
 },{  140001.000     ,  4.338          
 },{  140201.000     ,  4.344          
 },{  140401.000     ,  4.351          
 },{  140701.000     ,  4.360          
 },{  140901.000     ,  4.366          
 },{  141101.000     ,  4.341          
 },{  141401.000     ,  4.350          
 },{  141601.000     ,  4.356          
 },{  141801.000     ,  4.362          
 },{  142101.000     ,  4.341          
 },{  142301.000     ,  4.347          
 },{  142601.000     ,  4.356          
 },{  142801.000     ,  4.362          
 },{  143001.000     ,  4.337          
 },{  143201.000     ,  4.343          
 },{  143501.000     ,  4.352          
 },{  143701.000     ,  4.358          
 },{  143901.000     ,  4.364          
 },{  144101.000     ,  4.340          
 },{  144401.000     ,  4.349          
 },{  144601.000     ,  4.355          
 },{  144801.000     ,  4.361          
 },{  145101.000     ,  4.340          
 },{  145301.000     ,  4.345          
 },{  145501.000     ,  4.351          
 },{  145701.000     ,  4.357          
 },{  146001.000     ,  4.336          
 },{  146201.000     ,  4.342          
 },{  146401.000     ,  4.348          
 },{  146701.000     ,  4.357          
 },{  146901.000     ,  4.363          
 },{  147101.000     ,  4.339          
 },{  147301.000     ,  4.345          
 },{  147601.000     ,  4.353          
 },{  147801.000     ,  4.359          
 },{  148001.000     ,  4.336          
 },{  148201.000     ,  4.341          
 },{  148501.000     ,  4.350          
 },{  148801.000     ,  4.359          
 },{  149001.000     ,  4.335          
 },{  149201.000     ,  4.341          
 },{  149401.000     ,  4.347          
 },{  149701.000     ,  4.355          
 },{  149901.000     ,  4.361          
 },{  150101.000     ,  4.338          
 },{  150401.000     ,  4.346          
 },{  150601.000     ,  4.352          
 },{  150801.000     ,  4.358          
 },{  151001.000     ,  4.335          
 },{  151301.000     ,  4.343          
 },{  151501.000     ,  4.349          
 },{  151701.000     ,  4.354          
 },{  151901.000     ,  4.360          
 },{  152201.000     ,  4.340          
 },{  152401.000     ,  4.345          
 },{  152601.000     ,  4.351          
 },{  152901.000     ,  4.360          
 },{  153101.000     ,  4.337          
 },{  153301.000     ,  4.342          
 },{  153501.000     ,  4.348          
 },{  153801.000     ,  4.356          
 },{  154001.000     ,  4.334          
 },{  154201.000     ,  4.339          
 },{  154401.000     ,  4.345          
 },{  154701.000     ,  4.353          
 },{  154901.000     ,  4.359          
 },{  155101.000     ,  4.336          
 },{  155401.000     ,  4.344          
 },{  155601.000     ,  4.350          
 },{  155901.000     ,  4.358          
 },{  156101.000     ,  4.336          
 },{  156301.000     ,  4.341          
 },{  156601.000     ,  4.349          
 },{  156801.000     ,  4.355          
 },{  157001.000     ,  4.333          
 },{  157201.000     ,  4.338          
 },{  157501.000     ,  4.346          
 },{  157701.000     ,  4.352          
 },{  157901.000     ,  4.357          
 },{  158201.000     ,  4.338          
 },{  158401.000     ,  4.343          
 },{  158601.000     ,  4.349          
 },{  158801.000     ,  4.354          
 },{  159101.000     ,  4.335          
 },{  159301.000     ,  4.340          
 },{  159501.000     ,  4.346          
 },{  159701.000     ,  4.351          
 },{  160001.000     ,  4.332          
 },{  160201.000     ,  4.337          
 },{  160401.000     ,  4.343          
 },{  160701.000     ,  4.351          
 },{  160901.000     ,  4.356          
 },{  161101.000     ,  4.334          
 },{  161301.000     ,  4.339          
 },{  161601.000     ,  4.347          
 },{  161801.000     ,  4.353          
 },{  162001.000     ,  4.331          
 },{  162301.000     ,  4.339          
 },{  162501.000     ,  4.344          
 },{  162801.000     ,  4.352          
 },{  163001.000     ,  4.331          
 },{  163201.000     ,  4.336          
 },{  163401.000     ,  4.341          
 },{  163701.000     ,  4.349          
 },{  163901.000     ,  4.355          
 },{  164101.000     ,  4.333          
 },{  164401.000     ,  4.341          
 },{  164601.000     ,  4.346          
 },{  164801.000     ,  4.352          
 },{  165001.000     ,  4.330          
 },{  165201.000     ,  4.336          
 },{  165501.000     ,  4.343          
 },{  165701.000     ,  4.349          
 },{  165901.000     ,  4.354          
 },{  166101.000     ,  4.333          
 },{  166401.000     ,  4.340          
 },{  166601.000     ,  4.346          
 },{  166801.000     ,  4.351          
 },{  167001.000     ,  4.330          
 },{  167301.000     ,  4.338          
 },{  167501.000     ,  4.343          
 },{  167701.000     ,  4.348          
 },{  167901.000     ,  4.353          
 },{  168201.000     ,  4.335          
 },{  168401.000     ,  4.340          
